D1,D2,D3,rX,rY,gX,gY
425,248,149,140.1883333,399.0747664,80,402
429,248,168,148.0541667,396.0292056,94,402
434,234,168,162.8966667,401.0700935,112,402
441,221,206,189.7025,391.62266360000007,134,400
450,203,227,216.6825,390.36799069999995,154,398
460,203,227,224.2658333,400.9988318,170,394
465,180,276,263.3408333,377.60864489999994,206,396
460,167,276,267.005,372.20560750000004,226,401
453,156,287,272.7616667,357.5046729,240,402
444,147,292,272.9916667,344.69158880000003,256,396
439,140,294,273.1691667,338.16471960000007,272,374
