D1,D2,D3,rX,rY,gX,gY
402,105,296,262.9816667,300.43457939999996,222,422
411,118,288,260.3541667,314.44042060000004,242,418
423,135,274,254.9691667,335.3235981,258,402
436,150,274,257.15,348.36915889999995,264,378
444,166,267,251.4341667,361.01752339999996,266,358
448,179,257,242.5658333,371.307243,266,336
449,187,244,233.0058333,379.96378500000003,266,312
448,194,233,223.4408333,385.0455607,264,290
445,196,224,216.4808333,386.7207944,262,270
442,196,217,211.6908333,387.2184579,262,250
447,197,224,214.74,392.41121499999997,264,232
