D1,D2,D3,rX,rY,gX,gY
440,231,210,180.3433333,386.6682243,230,396
444,232,221,188.9475,387.2418224,236,380
448,218,231,206.1875,386.1296729,238,366
446,184,242,231.8133333,377.9626168,238,332
439,168,255,241.4216667,363.1775701,238,312
428,146,272,252.4533333,341.5700935,240,294
414,129,272,250.4216667,327.7990654,242,274
403,115,279,251.84,312.7943925,242,254
393,101,287,254.02,298.2056075,244,236
382,85,294,255.265,283.4953271,246,222
371,71,304,256.9858333,266.8329439,248,202
