D1,D2,D3,rX,rY,gX,gY
441,141,294,273.6591667,341.5899533,270,376
445,148,289,271.7883333,347.7663551,262,398
453,160,285,269.7016667,358.8411215,242,408
462,172,277,266.1775,373.713785,228,410
468,187,263,255.5525,389.0642523,214,408
471,200,263,249.515,392.3551402,197,405
468,209,248,234.645,398.0186916,180,404
462,217,231,217.5291667,401.0128505,162,402
455,226,212,198.5208333,403.3469626,142,404
447,236,175,172.875,411.6448598,120,404
439,247,157,153.1333333,410.3457944,106,404
