D1,D2,D3,rX,rY,gX,gY
359,259,124,82.5025,346.0151869,81,355
360,263,123,78.99916667,347.7278037,71,365
363,269,116,74.0925,352.2161215,65,379
369,277,116,70.4725,357.3469626,73,393
379,287,98,64.09583333,370.5852804,85,399
389,295,98,62.73583333,379.557243,95,403
400,302,91,61.45333333,391.8691589,111,407
412,303,91,69.0125,402.625,129,407
421,298,101,81.86833333,409.1401869,143,405
428,290,114,96.99,412.817757,155,401
434,275,128,118.2483333,414.9018692,171,393
