D1,D2,D3,rX,rY,gX,gY
373,245,160,110.90583329999998,346.62733639999993,85,381
374,230,175,127.59083329999999,341.6296729,89,365
381,218,188,144.8875,342.2908879,97,352
391,209,197,160.61333330000002,347.2616822,109,343
405,209,204,172.2391667,357.0011682,129,341
423,211,214,186.7425,369.5292056,149,343
440,213,227,202.3325,379.9707944,165,353
455,214,227,212.80833330000002,395.6542056,173,365
467,214,238,226.2908333,402.603972,181,377
473,213,246,234.9291667,404.66939249999996,189,391
476,209,250,242.0483333,403.3224299,209,401
