D1,D2,D3,rX,rY,gX,gY
390.0,338.0,79.0,15.2175,384.39602803738296,,
378.0,332.0,86.0,15.2,372.280373831776,,
364.0,321.0,86.0,18.515,360.14485981308405,,
355.0,321.0,99.0,15.126666666666699,349.775700934579,,
348.0,287.0,125.0,50.3325,337.22313084112096,,
343.0,287.0,125.0,47.453333333333305,333.18691588785,,
336.0,252.0,157.0,82.4541666666667,317.092289719626,,
327.0,238.0,176.0,94.1875,302.730140186916,,
314.0,224.00000000000003,176.0,108.478333333333,292.99532710280397,,
297.0,214.0,193.0,113.31333333333299,273.532710280374,,
277.0,214.0,210.0,98.0375,252.117990654206,,
