D1,D2,D3,rX,rY,gX,gY
267,139,424,250.6925,87.26285047,235,81
272,142,425,252.2408333,89.41939252,227,71
275,147,429,254.0466667,87.34579439,213,59
272,156,429,248.1341667,85.42873832,195,49
260,170,429,235.2075,77.97079439,173,37
241,188,428,215.8208333,67.85163551,151,33
216,207,429,194.5058333,53.50350467,125,37
188,227,429,171.3283333,39.28504673,99,45
163,244,433,152.8283333,26.00934579,81,57
141,259,436,136.8525,15.15070093,63,69
121,272,434,119.5308333,11.06191589,45,87
